# Image: fd1440-minix.img (1474560 bytes)
# RunResult: {"executed":107917,"reason":"halt-spin-exhausted"}
# Counts: {"instruction":107916,"int":314,"trap":311,"io":981,"memWrite":1072,"intService":1}

## Section 1: Final IDT state (read from memory after boot)
Vector | Offset | Segment | Linear
  [pre-svc  idx=94] vec=09 SEG B addr=00026 val=00
  [pre-svc  idx=95] vec=09 SEG B addr=00027 val=f0
  [pre-svc  idx=100] vec=0a OFF B addr=00028 val=0a
  [pre-svc  idx=101] vec=0a OFF B addr=00029 val=10
  [pre-svc  idx=103] vec=0a SEG B addr=0002a val=00
  [pre-svc  idx=104] vec=0a SEG B addr=0002b val=f0
  [pre-svc  idx=109] vec=0b OFF B addr=0002c val=0b
  [pre-svc  idx=110] vec=0b OFF B addr=0002d val=10
  [pre-svc  idx=112] vec=0b SEG B addr=0002e val=00
  [pre-svc  idx=113] vec=0b SEG B addr=0002f val=f0
  [pre-svc  idx=118] vec=0c OFF B addr=00030 val=0c
  [pre-svc  idx=119] vec=0c OFF B addr=00031 val=10
  [pre-svc  idx=121] vec=0c SEG B addr=00032 val=00
  [pre-svc  idx=122] vec=0c SEG B addr=00033 val=f0
  [pre-svc  idx=127] vec=0d OFF B addr=00034 val=0d
  [pre-svc  idx=128] vec=0d OFF B addr=00035 val=10
  [pre-svc  idx=130] vec=0d SEG B addr=00036 val=00
  [pre-svc  idx=131] vec=0d SEG B addr=00037 val=f0
  [pre-svc  idx=136] vec=0e OFF B addr=00038 val=0e
  [pre-svc  idx=137] vec=0e OFF B addr=00039 val=10
  [pre-svc  idx=139] vec=0e SEG B addr=0003a val=00
  [pre-svc  idx=140] vec=0e SEG B addr=0003b val=f0
  [pre-svc  idx=145] vec=0f OFF B addr=0003c val=0f
  [pre-svc  idx=146] vec=0f OFF B addr=0003d val=10
  [pre-svc  idx=148] vec=0f SEG B addr=0003e val=00
  [pre-svc  idx=149] vec=0f SEG B addr=0003f val=f0
  [pre-svc  idx=1018] vec=70 OFF B addr=001c0 val=70
  [pre-svc  idx=1019] vec=70 OFF B addr=001c1 val=10
  [pre-svc  idx=1021] vec=70 SEG B addr=001c2 val=00
  [pre-svc  idx=1022] vec=70 SEG B addr=001c3 val=f0
  [pre-svc  idx=1027] vec=71 OFF B addr=001c4 val=71
  [pre-svc  idx=1028] vec=71 OFF B addr=001c5 val=10
  [pre-svc  idx=1030] vec=71 SEG B addr=001c6 val=00
  [pre-svc  idx=1031] vec=71 SEG B addr=001c7 val=f0
  [pre-svc  idx=1036] vec=72 OFF B addr=001c8 val=72
  [pre-svc  idx=1037] vec=72 OFF B addr=001c9 val=10
  [pre-svc  idx=1039] vec=72 SEG B addr=001ca val=00
  [pre-svc  idx=1040] vec=72 SEG B addr=001cb val=f0
  [pre-svc  idx=1045] vec=73 OFF B addr=001cc val=73
  [pre-svc  idx=1046] vec=73 OFF B addr=001cd val=10
  [pre-svc  idx=1048] vec=73 SEG B addr=001ce val=00
  [pre-svc  idx=1049] vec=73 SEG B addr=001cf val=f0
  [pre-svc  idx=1054] vec=74 OFF B addr=001d0 val=74
  [pre-svc  idx=1055] vec=74 OFF B addr=001d1 val=10
  [pre-svc  idx=1057] vec=74 SEG B addr=001d2 val=00
  [pre-svc  idx=1058] vec=74 SEG B addr=001d3 val=f0
  [pre-svc  idx=1063] vec=75 OFF B addr=001d4 val=75
  [pre-svc  idx=1064] vec=75 OFF B addr=001d5 val=10
  [pre-svc  idx=1066] vec=75 SEG B addr=001d6 val=00
  [pre-svc  idx=1067] vec=75 SEG B addr=001d7 val=f0
  [pre-svc  idx=1072] vec=76 OFF B addr=001d8 val=76
  [pre-svc  idx=1073] vec=76 OFF B addr=001d9 val=10
  [pre-svc  idx=1075] vec=76 SEG B addr=001da val=00
  [pre-svc  idx=1076] vec=76 SEG B addr=001db val=f0
